,right_touch,left_touch,right_x_N,left_x_N,right_z_N,left_z_N,A_HFL,A_GLU,A_VAS,A_SOL,A_GAS,A_TA,A_HAM,A_RF,A_L_HFL,A_L_GLU,A_L_VAS,A_L_SOL,A_L_GAS,A_L_TA,A_L_HAM,A_L_RF,theta,hip,L_hip,knee,L_knee,ankle,L_ankle
0,1.0,1.0,-8.699083512271404,-1334.2762742603352,83.97981636745497,4743.747464956783,0.03965511410164346,0.0,0.0,0.2586635138013114,0.09833479541271767,0.0041035317142252,0.10668606443750336,0.22980402979366366,0.0,0.006282084849325857,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.1777970411390363,0.006428112314745304,0.019841060997583426,0.19565222813204358,-0.4726669135738964,0.30037521747616963,0.0006622664031605108,0.0002392352284090102,-0.4521822070015069,0.3464482686335399
1,1.0,1.0,11.281431552176455,-712.9603401804843,81.79541062147015,2938.6553667906646,0.03965511410164346,0.0,0.0,0.25437938034788543,0.09774619492128223,0.0056311669066895775,0.09728952641659892,0.22980402979366366,0.0076328987295273265,0.09164219519509652,0.0,0.03881053805738306,0.04074220451731953,0.039248331340005584,0.09728952641659892,0.012487618174180426,0.19866734111848824,-0.4754454544457413,0.3002187280681116,-0.0027081351198076442,-0.006667615769127889,-0.46182710268556787,0.33044599176027
2,1.0,1.0,26.065600817983142,-394.6598094876932,71.63295698625527,1860.4628674083938,0.03965511410164346,0.0,0.0,0.24997233021854848,0.09713969341047402,0.007204100571513411,0.177944834156832,0.22980402979366366,0.0076328987295273265,0.21758550670395488,0.0,0.03881031164876654,0.0407561555249173,0.0392492732065733,0.177944834156832,0.012487618174180426,0.20371600404987278,-0.4758698647454294,0.30215243398305497,-0.0077069826574033,-0.016064259680672793,-0.47452385377108414,0.3067269961010564
3,1.0,1.0,41.491995981604155,-186.52809959915606,43.83542403096866,1174.634052583831,0.03965511410164346,0.0,0.0,0.24545235054002074,0.09651611477670813,0.00881915574308774,0.30118897272136363,0.22980402979366366,0.0076328987295273265,0.40439861865097626,0.0,0.03881003141745099,0.04076793771069628,0.0392499487710957,0.30118897272136363,0.012487618174180426,0.2095723020601232,-0.4751457319751103,0.30489837894628735,-0.013420726576158885,-0.0261424581890196,-0.48921908044496143,0.2790768941448904
4,1.0,1.0,50.154792364660295,-88.43216436476962,20.06191694586412,886.5624101763781,0.03965511410164346,0.030496833696308734,0.0,0.24083621570539854,0.09587741093332725,0.010470913044583682,0.3764549524366919,0.22980402979366366,0.0076328987295273265,0.5132812487424063,0.0,0.038809702708141484,0.04077781834590914,0.0392504207008143,0.3764549524366919,0.012487618174180426,0.21529398709233985,-0.4740991702016401,0.30743844117733965,-0.01924628384180949,-0.035656887048012835,-0.5053141949786493,0.249553630279687
5,0.0,1.0,0.0,-48.27862406570647,0.0,809.2695261721121,0.03965511410164346,0.07162233256489026,0.0,0.21927377232189502,0.09059944543062312,0.017665061494543145,0.4090039341040176,0.22980402979366366,0.0076328987295273265,0.5544067476109878,0.0,0.03846411416396808,0.04006097726020311,0.03942589232578789,0.4090039341040176,0.012487618174180426,0.22029064592912548,-0.47324652893655933,0.3091452212889232,-0.024910830822807553,-0.043892575679494755,-0.5224149881489119,0.21907938661738874
6,0.0,1.0,0.0,-22.06671354952229,0.0,743.6319447687819,0.28253757433824617,0.006615658450268298,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.25074811775940165,0.019822199160102538,0.019841060997583426,0.0076328987295273265,0.5474060267353734,0.0,0.04954053996183546,0.04581376860614727,0.03652895399795266,0.4104731161387594,0.012487618174180426,0.22430382148505643,-0.472825402898612,0.30976859731502726,-0.030909293574912462,-0.05057950195891275,-0.5406299052074135,0.18793171485729804
7,0.0,1.0,0.0,0.06010095399254567,0.0,670.1090783716032,0.2781229407561063,0.007555757158325622,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.25158597928144744,0.022003446949558893,0.019841060997583426,0.0076328987295273265,0.5093723459723172,0.0,0.04889307863268443,0.04530259900831237,0.037933647702894036,0.3912353851385622,0.012487618174180426,0.22739055196442673,-0.472638647650106,0.3093183124515913,-0.037610135251997565,-0.05570289733513001,-0.5593064675596912,0.156272835285451
8,0.0,1.0,0.0,5.440044736557823,0.0,646.5478143370301,0.27498110663974423,0.007599948534825244,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.2525668924698957,0.020631613357850458,0.019841060997583426,0.0076328987295273265,0.46198421173823984,0.0,0.04677010264087649,0.04427256341299786,0.040064403331330066,0.36495773877871507,0.012487618174180426,0.22966700710265034,-0.47249949622182313,0.3079099836141397,-0.045138452128257796,-0.0594146054958797,-0.5780133499254391,0.12410996946773012
9,0.0,1.0,0.0,8.937677358541727,0.0,626.5716955659728,0.2730889066365424,0.0074744600580281435,0.002651317459773872,0.0018760547600793487,0.005757203423324309,0.25363732983885656,0.018738404079331354,0.019841060997583426,0.0076328987295273265,0.4174756304826259,0.0,0.045244887411840726,0.04386973675703789,0.042110860519887106,0.3395646778757658,0.012487618174180426,0.23125663681151953,-0.4722639541394637,0.305696621310106,-0.053557496719469994,-0.06193051230852687,-0.5965277927361972,0.091383660003812
